Timestamp,1. Jinsingiz:,2. Qaysi yosh oralig'idasiz?,3. Qaysi hududda yashaysiz?,4. Nima bilan shug’ullanasiz?,5. Ma'lumotingiz:,"1. IT sohasida ko‘proq bilim olishga qiziqasizmi (masalan, kompyuter ko‘nikmalari, dasturlash yoki raqamli vositalardan foydalanish)?","2. Sizningcha, IT-ko‘nikmalarni yaxshilash ishingiz/o‘qishingiz/hayotingiz sifatini oshirishi mumkinmi?",3. Siz hozirda IT va raqamli ko'nikmalaringiz darajasini qanday baholaysiz?  ,ID
2/11/2025 19:12:54,Erkak,21-23 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,38
2/11/2025 19:20:21,Ayol,18-20 yosh,Fargʻona viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,39
2/11/2025 19:25:20,Ayol,18-20 yosh,Namangan viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,40
2/11/2025 19:27:58,Ayol,18-20 yosh,Namangan viloyati,Talabaman,Universitet o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,41
2/11/2025 19:28:54,Ayol,24-27 yosh,Namangan viloyati,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,42
2/11/2025 19:28:59,Erkak,18-20 yosh,Toshkent shahri,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,43
2/11/2025 19:46:14,Ayol,15 yoshgacha,Navoiy viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,45
2/11/2025 20:18:25,Erkak,24-27 yosh,Buxoro viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,46
2/11/2025 20:26:09,Erkak,15-17 yosh,Toshkent viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,47
2/11/2025 20:29:08,Erkak,15-17 yosh,Buxoro viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,48
2/11/2025 20:45:15,Erkak,18-20 yosh,Fargʻona viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,49
2/11/2025 20:47:42,Erkak,18-20 yosh,Qoraqalpogʻiston Respublikasi,O'qiyman,O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,50
2/11/2025 21:32:49,Ayol,28-35 yosh,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,53
2/11/2025 21:46:27,Ayol,15-17 yosh,Toshkent shahri,O'qiyman,O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Bazaviy bilimlarga egaman,54
2/12/2025 0:42:50,Erkak,21-23 yosh,Toshkent shahri,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,55
2/12/2025 2:00:19,Ayol,18-20 yosh,Buxoro viloyati,O'qiyman,O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Bazaviy bilimlarga egaman,56
2/12/2025 3:07:53,Ayol,28-35 yosh,Toshkent viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.,57
2/12/2025 5:41:25,Erkak,21-23 yosh,Buxoro viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,58
2/12/2025 8:01:40,Ayol,24-27 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,59
2/12/2025 9:00:38,Erkak,18-20 yosh,Buxoro viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,60
2/12/2025 9:08:20,Erkak,21-23 yosh,Buxoro viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,61
2/12/2025 9:14:53,Erkak,18-20 yosh,Fargʻona viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,62
2/12/2025 9:19:19,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,63
2/12/2025 9:25:20,Erkak,15-17 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,64
2/12/2025 9:29:03,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,65
2/12/2025 9:29:42,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,66
2/12/2025 9:34:54,Erkak,21-23 yosh,Namangan viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,67
2/12/2025 9:37:50,Erkak,21-23 yosh,Namangan viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,68
2/12/2025 9:49:50,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,69
2/12/2025 10:30:59,Ayol,21-23 yosh,Namangan viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,70
2/12/2025 10:59:18,Erkak,28-35 yosh,Samarqand viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,71
2/12/2025 11:22:33,Erkak,18-20 yosh,Xorazm viloyati,Talabaman va ishlayman,Tugallanmagan oliy,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,72
2/12/2025 11:26:32,Ayol,18-20 yosh,Namangan viloyati,O'qiyman,Universitet da oʻqiman ,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,73
2/12/2025 11:49:32,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,74
2/12/2025 11:56:21,Erkak,24-27 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,75
2/12/2025 12:02:45,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,76
2/12/2025 12:05:22,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,77
2/12/2025 12:20:15,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,78
2/12/2025 12:36:37,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,79
2/12/2025 12:44:08,Erkak,24-27 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,80
2/12/2025 12:59:00,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,81
2/12/2025 13:06:47,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,82
2/12/2025 13:11:48,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,83
2/12/2025 13:22:15,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,84
2/12/2025 13:27:44,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,85
2/12/2025 13:28:12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,86
2/12/2025 13:29:59,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,87
2/12/2025 13:42:57,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,88
2/12/2025 13:44:54,Ayol,18-20 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,89
2/12/2025 13:51:02,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,90
2/12/2025 13:51:10,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,91
2/12/2025 13:52:21,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,92
2/12/2025 13:54:48,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,93
2/12/2025 14:02:02,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,94
2/12/2025 14:03:09,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,95
2/12/2025 14:11:56,Erkak,18-20 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,96
2/12/2025 14:29:30,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,97
2/12/2025 14:30:27,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,98
2/12/2025 14:42:02,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,99
2/12/2025 14:42:48,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,100
2/12/2025 14:54:50,Ayol,28-35 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,101
2/12/2025 14:59:44,Erkak,18-20 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,102
2/12/2025 15:05:15,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,103
2/12/2025 15:06:39,Ayol,24-27 yosh,Sirdaryo viloyati,Tadbirkorman,O‘rta (maktab attestati),Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.,104
2/12/2025 15:06:47,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.,105
2/12/2025 15:11:17,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,106
2/12/2025 15:11:24,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,107
2/12/2025 15:18:04,Ayol,15 yoshgacha,Xorazm viloyati,maktabda oqiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,108
2/12/2025 15:19:05,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,109
2/12/2025 15:21:20,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,110
2/12/2025 15:21:35,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,111
2/12/2025 15:21:55,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,112
2/12/2025 15:22:52,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,113
2/12/2025 15:23:54,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,114
2/12/2025 15:24:28,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,115
2/12/2025 15:25:16,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,116
2/12/2025 15:26:16,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,117
2/12/2025 15:27:25,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,118
2/12/2025 15:30:03,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,119
2/12/2025 15:30:38,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,120
2/12/2025 15:30:52,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,121
2/12/2025 15:30:52,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,122
2/12/2025 15:31:12,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,123
2/12/2025 15:32:15,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,124
2/12/2025 15:32:15,Erkak,28-35 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,125
2/12/2025 15:32:50,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,126
2/12/2025 15:32:59,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,127
2/12/2025 15:33:02,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,128
2/12/2025 15:33:27,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,129
2/12/2025 15:33:46,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,130
2/12/2025 15:34:24,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,131
2/12/2025 15:34:46,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,132
2/12/2025 15:35:42,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,133
2/12/2025 15:36:23,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,134
2/12/2025 15:36:34,Erkak,15-17 yosh,Xorazm viloyati,Oquvchi,O'quvchi,Ha,Ha,Bazaviy bilimlarga egaman,135
2/12/2025 15:36:41,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,136
2/12/2025 15:36:46,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,137
2/12/2025 15:36:51,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,138
2/12/2025 15:37:02,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,139
2/12/2025 15:38:59,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,140
2/12/2025 15:39:05,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,141
