,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Timestamp,1. Jinsingiz:,2. Qaysi yosh oralig'idasiz?,3. Qaysi hududda yashaysiz?,4. Nima bilan shug’ullanasiz?,5. Ma'lumotingiz:,"1. IT sohasida ko‘proq bilim olishga qiziqasizmi (masalan, kompyuter ko‘nikmalari, dasturlash yoki raqamli vositalardan foydalanish)?","2. Sizningcha, IT-ko‘nikmalarni yaxshilash ishingiz/o‘qishingiz/hayotingiz sifatini oshirishi mumkinmi?",3. Siz hozirda IT va raqamli ko'nikmalaringiz darajasini qanday baholaysiz?  ,ID
22,22,22,22,22,22,22,2025-02-11,Ayol,24-27 yosh,Buxoro viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,25
23,23,23,23,23,23,23,2025-02-11,Erkak,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,27
24,24,24,24,24,24,24,2025-02-11,Ayol,28-35 yosh,Sirdaryo viloyati,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,28
25,25,25,25,25,25,25,2025-02-11,Erkak,21-23 yosh,Toshkent shahri,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,29
26,26,26,26,26,26,26,2025-02-11,Ayol,15-17 yosh,Toshkent viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,30
27,27,27,27,27,27,27,2025-02-11,Ayol,15-17 yosh,Toshkent viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,31
28,28,28,28,28,28,28,2025-02-11,Ayol,15-17 yosh,Fargʻona viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,33
29,29,29,29,29,29,29,2025-02-11,Ayol,15-17 yosh,Toshkent viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,34
30,30,30,30,30,30,30,2025-02-11,Ayol,15-17 yosh,Toshkent shahri,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,35
31,31,31,31,31,31,31,2025-02-11,Erkak,21-23 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,38
32,32,32,32,32,32,32,2025-02-11,Ayol,18-20 yosh,Fargʻona viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,39
33,33,33,33,33,33,33,2025-02-11,Ayol,18-20 yosh,Namangan viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,40
34,34,34,34,34,34,34,2025-02-11,Ayol,18-20 yosh,Namangan viloyati,Talabaman,Universitet o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,41
35,35,35,35,35,35,35,2025-02-11,Ayol,24-27 yosh,Namangan viloyati,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,42
36,36,36,36,36,36,36,2025-02-11,Erkak,18-20 yosh,Toshkent shahri,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,43
37,37,37,37,37,37,37,2025-02-11,Ayol,15 yoshgacha,Navoiy viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,45
38,38,38,38,38,38,38,2025-02-11,Erkak,24-27 yosh,Buxoro viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,46
39,39,39,39,39,39,39,2025-02-11,Erkak,15-17 yosh,Toshkent viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,47
40,40,40,40,40,40,40,2025-02-11,Erkak,15-17 yosh,Buxoro viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,48
41,41,41,41,41,41,41,2025-02-11,Erkak,18-20 yosh,Fargʻona viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,49
42,42,42,42,42,42,42,2025-02-11,Erkak,18-20 yosh,Qoraqalpogʻiston Respublikasi,O'qiyman,O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,50
43,43,43,43,43,43,43,2025-02-11,Ayol,28-35 yosh,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,53
44,44,44,44,44,44,44,2025-02-11,Ayol,15-17 yosh,Toshkent shahri,O'qiyman,O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Bazaviy bilimlarga egaman,54
45,45,45,45,45,45,45,2025-02-12,Erkak,21-23 yosh,Toshkent shahri,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,55
46,46,46,46,46,46,46,2025-02-12,Ayol,18-20 yosh,Buxoro viloyati,O'qiyman,O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Bazaviy bilimlarga egaman,56
47,47,47,47,47,47,47,2025-02-12,Ayol,28-35 yosh,Toshkent viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.,57
48,48,48,48,48,48,48,2025-02-12,Erkak,21-23 yosh,Buxoro viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,58
49,49,49,49,49,49,49,2025-02-12,Ayol,24-27 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,59
50,50,50,50,50,50,50,2025-02-12,Erkak,18-20 yosh,Buxoro viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,60
51,51,51,51,51,51,51,2025-02-12,Erkak,21-23 yosh,Buxoro viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,61
52,52,52,52,52,52,52,2025-02-12,Erkak,18-20 yosh,Fargʻona viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,62
53,53,53,53,53,53,53,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,63
54,54,54,54,54,54,54,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,64
55,55,55,55,55,55,55,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,65
56,56,56,56,56,56,56,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,66
57,57,57,57,57,57,57,2025-02-12,Erkak,21-23 yosh,Namangan viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,67
58,58,58,58,58,58,58,2025-02-12,Erkak,21-23 yosh,Namangan viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,68
59,59,59,59,59,59,59,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,69
60,60,60,60,60,60,60,2025-02-12,Ayol,21-23 yosh,Namangan viloyati,O'qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,70
61,61,61,61,61,61,61,2025-02-12,Erkak,28-35 yosh,Samarqand viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,71
62,62,62,62,62,62,62,2025-02-12,Erkak,18-20 yosh,Xorazm viloyati,Talabaman va ishlayman,Tugallanmagan oliy,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,72
63,63,63,63,63,63,63,2025-02-12,Ayol,18-20 yosh,Namangan viloyati,O'qiyman,Universitet da oʻqiman ,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,73
64,64,64,64,64,64,64,2025-02-12,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,74
65,65,65,65,65,65,65,2025-02-12,Erkak,24-27 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,75
66,66,66,66,66,66,66,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,76
67,67,67,67,67,67,67,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,77
68,68,68,68,68,68,68,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,78
69,69,69,69,69,69,69,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,79
70,70,70,70,70,70,70,2025-02-12,Erkak,24-27 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,80
71,71,71,71,71,71,71,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,81
72,72,72,72,72,72,72,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,82
73,73,73,73,73,73,73,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,83
74,74,74,74,74,74,74,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,84
75,75,75,75,75,75,75,2025-02-12,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,85
76,76,76,76,76,76,76,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,86
77,77,77,77,77,77,77,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,87
78,78,78,78,78,78,78,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,88
79,79,79,79,79,79,79,2025-02-12,Ayol,18-20 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,89
80,80,80,80,80,80,80,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,90
81,81,81,81,81,81,81,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,91
82,82,82,82,82,82,82,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,92
83,83,83,83,83,83,83,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,93
84,84,84,84,84,84,84,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,94
85,85,85,85,85,85,85,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,95
86,86,86,86,86,86,86,2025-02-12,Erkak,18-20 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,96
87,87,87,87,87,87,87,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,97
88,88,88,88,88,88,88,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,98
89,89,89,89,89,89,89,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,99
90,90,90,90,90,90,90,2025-02-12,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,100
91,91,91,91,91,91,91,2025-02-12,Ayol,28-35 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman,101
92,92,92,92,92,92,92,2025-02-12,Erkak,18-20 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,102
93,93,93,93,93,93,93,2025-02-12,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,103
94,94,94,94,94,94,94,2025-02-12,Ayol,24-27 yosh,Sirdaryo viloyati,Tadbirkorman,O‘rta (maktab attestati),Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.,104
95,95,95,95,95,95,95,2025-02-12,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.,105
96,96,96,96,96,96,96,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,106
97,97,97,97,97,97,97,2025-02-12,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,107
98,98,98,98,98,98,98,2025-02-12,Ayol,15 yoshgacha,Xorazm viloyati,maktabda oqiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,108
99,99,99,99,99,99,99,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,109
100,100,100,100,100,100,100,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,110
101,101,101,101,101,101,101,2025-02-12,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,111
102,102,102,102,102,102,102,2025-02-12,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,112
103,103,103,103,103,103,103,2025-02-12,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,113
104,104,104,104,104,104,104,2025-02-12,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,114
105,105,105,105,105,105,105,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,115
106,106,106,106,106,106,106,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,116
107,107,107,107,107,107,107,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,117
108,108,108,108,108,108,108,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Bazaviy bilimlarga egaman,118
109,109,109,109,109,109,109,2025-02-12,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,119
110,110,110,110,110,110,110,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,120
111,111,111,111,111,111,111,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,121
112,112,112,112,112,112,112,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,122
113,113,113,113,113,113,113,2025-02-12,Ayol,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,123
114,114,114,114,114,114,114,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,124
115,115,115,115,115,115,115,2025-02-12,Erkak,28-35 yosh,Xorazm viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.,125
116,116,116,116,116,116,116,2025-02-12,Erkak,15-17 yosh,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,126
117,117,117,117,117,117,117,2025-02-12,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,127
118,118,118,118,118,118,118,2025-02-12,Ayol,15-17 yosh,Xorazm viloyati,O'qiyman,O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,128
119,119,119,119,119,119,119,2025-02-12,Erkak,15 yoshgacha,Xorazm viloyati,O'qiyman,Hali maktabda o'qiyman,Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman,129
