Timestamp,1. Jinsingiz:,2. Qaysi yosh oralig'idasiz?,3. Qaysi hududda yashaysiz?,4. Nima bilan shug’ullanasiz?,5. Ma'lumotingiz:,"1. IT sohasida ko‘proq bilim olishga qiziqasizmi (masalan, kompyuter ko‘nikmalari, dasturlash yoki raqamli vositalardan foydalanish)?","2. Sizningcha, IT-ko‘nikmalarni yaxshilash ishingiz/o‘qishingiz/hayotingiz sifatini oshirishi mumkinmi?",3. Siz hozirda IT va raqamli ko'nikmalaringiz darajasini qanday baholaysiz?  
2025-03-18,Erkak,21-23 yosh,Toshkent shahri,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-18,Erkak,21-23 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,18-20 yosh,Qashqadaryo viloyati,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-03-17,Erkak,21-23 yosh,Toshkent shahri,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,46-52 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,15-17 yosh,Jizzax viloyati,O’qiyman,Hali maktabda o‘qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,28-35 yosh,Sirdaryo viloyati,Tadbirkorman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.
2025-03-17,Erkak,24-27 yosh,Toshkent shahri,Tadbirkorman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Ayol,18-20 yosh,Qashqadaryo viloyati,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-03-17,Erkak,24-27 yosh,Toshkent shahri,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,24-27 yosh,Toshkent viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Bazaviy bilimlarga egaman.
2025-03-17,Erkak,28-35 yosh,Toshkent shahri,Tadbirkorman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,21-23 yosh,Toshkent viloyati,O’qiyman,O‘rta (maktab attestati),Ha,Ha,Bazaviy bilimlarga egaman.
2025-03-17,Erkak,24-27 yosh,Navoiy viloyati,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,28-35 yosh,Farg‘ona viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Yo'q,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,24-27 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Ayol,18-20 yosh,Namangan viloyati,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,21-23 yosh,Toshkent viloyati,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,21-23 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,24-27 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,21-23 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Yo'q,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,36-45 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-03-17,Ayol,28-35 yosh,Qashqadaryo viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-03-17,Erkak,21-23 yosh,Toshkent shahri,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,21-23 yosh,Toshkent shahri,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Ayol,18-20 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),O‘rta (maktab attestati),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,24-27 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Yo'q,Yo'q,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,21-23 yosh,Toshkent shahri,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-03-17,Ayol,21-23 yosh,Sirdaryo viloyati,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,18-20 yosh,Samarqand viloyati,Tadbirkorman,O‘rta (maktab attestati),Yo'q,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-17,Erkak,21-23 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-17,Erkak,24-27 yosh,Navoiy viloyati,Tadbirkorman,O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-14,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-07,Ayol,28-35 yosh,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-03-04,Ayol,28-35 yosh,Toshkent shahri,Tadbirkorman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-03-04,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-03-04,Ayol,28-35 yosh,Andijon viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-28,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-02-23,Ayol,35 yosh va undan yuqori,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-20,Erkak,15 yoshgacha,Navoiy viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-19,Ayol,35 yosh va undan yuqori,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-19,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Yo'q,Bazaviy bilimlarga egaman.
2025-02-18,Erkak,24-27 yosh,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-02-16,Ayol,35 yosh va undan yuqori,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.
2025-02-16,Ayol,28-35 yosh,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-02-15,Ayol,24-27 yosh,Farg‘ona viloyati,обучаюсь заочно и работаю,неоконченное высшее,Ha,Ha,Bazaviy bilimlarga egaman.
2025-02-15,Ayol,15-17 yosh,Toshkent shahri,O’qiyman,Hali maktabda o‘qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-02-14,Ayol,35 yosh va undan yuqori,Farg‘ona viloyati,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-02-14,Ayol,24-27 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-14,Erkak,24-27 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-14,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-12,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-12,Ayol,18-20 yosh,Toshkent shahri,O’qiyman,O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-12,Erkak,15-17 yosh,Toshkent shahri,O’qiyman,Hali maktabda o‘qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-02-11,Ayol,21-23 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-02-11,Ayol,24-27 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-11,Ayol,35 yosh va undan yuqori,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-11,Erkak,15-17 yosh,Jizzax viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),Hali maktabda o‘qiyman,Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.
2025-02-11,Erkak,21-23 yosh,Toshkent shahri,O’qiyman,незаконченное высшее,Yo'q,Yo'q,Bazaviy bilimlarga egaman.
2025-02-11,Erkak,35 yosh va undan yuqori,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.
2025-02-11,Erkak,35 yosh va undan yuqori,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Yo'q,Ha,Bazaviy bilimlarga egaman.
2025-02-11,Ayol,35 yosh va undan yuqori,Toshkent viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-10,Ayol,15-17 yosh,Toshkent shahri,O’qiyman,Hali maktabda o‘qiyman,Ha,Ha,Bazaviy bilimlarga egaman.
2025-02-10,Erkak,24-27 yosh,Toshkent viloyati,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),Неоконченное высшее,Ha,Ha,Bazaviy bilimlarga egaman.
2025-02-10,Ayol,21-23 yosh,Toshkent viloyati,O’qiyman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-02-10,Ayol,35 yosh va undan yuqori,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-09,Ayol,28-35 yosh,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-02-09,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Yo'q,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-09,Ayol,35 yosh va undan yuqori,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-02-09,Ayol,15 yoshgacha,Toshkent shahri,O’qiyman,Hali maktabda o‘qiyman,Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-02-09,Ayol,28-35 yosh,Toshkent shahri,Vaqtinchalik ishsizman,"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
2025-02-09,Ayol,21-23 yosh,Toshkent shahri,O’qiyman,O‘rta-maxsus (kollej/litsey diplomi),Ha,Ha,Ilg‘or ko‘nikmalarga egaman.
2025-02-07,Erkak,35 yosh va undan yuqori,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Высшее (бакалавр, магистр или выше)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-06,Ayol,35 yosh va undan yuqori,Toshkent shahri,Няня в семье,"Средне-специальное (колледж, лицей, училище)",Ha,Ha,Kompyuter yoki internet haqida deyarli hech narsa bilmayman.
2025-02-06,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Высшее (бакалавр, магистр или выше)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-02-06,Ayol,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Высшее (бакалавр, магистр или выше)",Ha,Ha,Ko‘plab raqamli vositalardan bemalol foydalana olaman.
2025-04-02,Erkak,28-35 yosh,Toshkent shahri,Ishlayman (davlat/nodavlat/xususiy/xalqaro yoki boshqa tashkilot),"Oliy (bakalavriat, magistratura va undan yuqori)",Ha,Ha,Bazaviy bilimlarga egaman.
